organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000133284	NHMSYS0021527127	Animalia	Arthropoda	Insecta	Diptera	Agromyzidae	Agromyza	Agromyza pseudoreptans/reptans		Species aggregate			Y																																						
NBNORG0000137628	NHMSYS0021871882	Plantae	Tracheophyta	Magnoliopsida	Poales	Poaceae	Agrostis	Agrostis canina s.l. x capillaris		Species hybrid			Y																																						
NBNORG0000053013	NHMSYS0000455678	Plantae	Tracheophyta	Magnoliopsida	Poales	Poaceae	Agrostis	Agrostis capillaris x castellana = A. x fouilladeana	Lambinon & Verloove	Species hybrid	Agrostis capillaris x castellana;Agrostis capillaris x castellana (A. x fouilladei);Agrostis x fouilladei		Y																																						
NBNORG0000090374	NHMSYS0001754811	Plantae	Tracheophyta	Magnoliopsida	Poales	Poaceae	Agrostis	Agrostis capillaris x gigantea = A. x bjoerkmanii	Widén	Species hybrid	Agrostis capillaris x gigantea;Agrostis capillaris x gigantea (A. x bjoerkmanii);Agrostis x bjoerkmanii																																								
NBNORG0000090293	NHMSYS0001754730	Plantae	Tracheophyta	Magnoliopsida	Poales	Poaceae	Agrostis	Agrostis capillaris x stolonifera = A. x murbeckii	Fouill.	Species hybrid	Agrostis capillaris x stolonifera;Agrostis capillaris x stolonifera (A. x murbeckii);Agrostis x intermedia;Agrostis x murbeckii			Y																																					
NBNORG0000013189	NBNSYS0000013991	Plantae	Tracheophyta	Magnoliopsida	Poales	Poaceae	Agrostis	Agrostis gigantea x stolonifera = A. x gigantifera	Portal	Species hybrid																																									
NBNORG0000127805	NHMSYS0021220924	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Agrypon	Agrypon sp. H		Species			Y																																						
NBNORG0000041042	NBNSYS0100001447	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Agyneta	Agyneta cauta/olivacea		Species aggregate			Y																																						
NBNORG0000090169	NHMSYS0001754602	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Ajuga pyramidalis x reptans = A. x pseudopyramidalis	Schur	Species hybrid	Ajuga hampeana;Ajuga hybrida;Ajuga pyramidalis x reptans;Ajuga pyramidalis x reptans (A. x pseudopyramidalis);Ajuga x hampeana;Ajuga x pseudopyramidalis																										RedList_GB_post2001-VU				NR-excludes										
NBNORG0000060669	NHMSYS0021373129	Animalia	Chordata	Aves	Passeriformes	Alaudidae	Alaudala	Alaudala cheleensis/rufescens/heinei		Species aggregate	Alaudala rufescens;Calandrella rufescens		Y															Bern-A2																							
NBNORG0000076244	NHMSYS0021576498	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	Albugo candida s. lat.		Species	Aecidium candidum;Albugo candida;Cystopus candidus;Uredo candida		Y																																						
NBNORG0000133363	NHMSYS0021552589	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	Albugo candida s. str.	(Pers.) Roussel	Species			Y																																						
NBNORG0000095880	NHMSYS0020322335	Animalia	Chordata	Aves	Charadriiformes	Alcidae		Alca torda/Uria aalge		Species aggregate	Alca torda/aalge																																								
NBNORG0000099253	NHMSYS0020545880	Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Aleiodes	Aleiodes gastritor agg.		Species aggregate			Y																																						
NBNORG0000099254	NHMSYS0020545886	Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Aleiodes	Aleiodes pictus agg.		Species aggregate			Y																																						
NBNORG0000090098	NHMSYS0001754531	Plantae	Tracheophyta	Magnoliopsida	Alismatales	Alismataceae	Alisma	Alisma lanceolatum x plantago-aquatica = A. x rhicnocarpum	Schotsman	Species hybrid	Alisma lanceolatum x plantago-aquatica;Alisma lanceolatum x plantago-aquatica (A. x rhicnocarpum);Alisma x rhicnocarpum			Y																																					
NBNORG0000105322	NHMSYS0020825389	Plantae	Tracheophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Allium	Allium spp.		Species																																									
NBNORG0000137525	NHMSYS0021871267	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus glutinosa x cordata = A. x elliptica	Req.	Species hybrid			Y																																						
NBNORG0000090369	NHMSYS0001754806	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus glutinosa x incana = A. x hybrida	A.Braun ex Rchb.	Species hybrid	Alnus glutinosa x incana;Alnus glutinosa x incana (A. x pubescens);Alnus x hybrida;Alnus x pubescens	Y	Y																																						
NBNORG0000089920	NHMSYS0001754352	Plantae	Tracheophyta	Magnoliopsida	Poales	Poaceae	Alopecurus	Alopecurus aequalis x geniculatus = A. x haussknechtianus	Asch. & Graebn.	Species hybrid	Alopecurus aequalis x geniculatus;Alopecurus aequalis x geniculatus (A. x haussknechtianus);Alopecurus x haussknechtianus			Y																																					
NBNORG0000089983	NHMSYS0001754415	Plantae	Tracheophyta	Magnoliopsida	Poales	Poaceae	Alopecurus	Alopecurus bulbosus x geniculatus = A. x plettkei	Mattf.	Species hybrid	Alopecurus bulbosus x geniculatus;Alopecurus bulbosus x geniculatus (A. x plettkei);Alopecurus x plettkei			Y																																					
NBNORG0000090068	NHMSYS0001754501	Plantae	Tracheophyta	Magnoliopsida	Poales	Poaceae	Alopecurus	Alopecurus geniculatus x pratensis = A. x brachystylus	Peterm.	Species hybrid	Alopecurus geniculatus x pratensis;Alopecurus geniculatus x pratensis (A. x brachystylus);Alopecurus x brachystylus;Alopecurus x hybridus			Y																																					
NBNORG0000123036	BMSSYS0000042424	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita excelsa s. lat.		Species sensu lato			Y																																						
NBNORG0000090727	NHMSYS0019999353	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita vaginata agg.		Species aggregate			Y																																						
NBNORG0000090085	NHMSYS0001754518	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	Amaranthus hybridus x retroflexus = A. x ozanonii	(Thell.) C.Schust. & M.Goldschm.	Species hybrid	Amaranthus hybridus x retroflexus;Amaranthus hybridus x retroflexus (A. x ozanonii);Amaranthus x adulterinus;Amaranthus x ozanonii																																								
NBNORG0000135150	NHMSYS0021744762	Plantae	Bryophyta	Bryopsida	Hypnales	Amblystegiaceae	Amblystegium	Amblystegium fluviatile/tenax		Species aggregate			Y																																						
NBNORG0000071154	NHMSYS0000864848	Animalia	Arthropoda	Arachnida		Amerobelbidae	Amerobelba	Amerobelba ?decedens	Berlese, 1908	Species			Y																																						
NBNORG0000126248	NHMSYS0021204782	Animalia	Arthropoda	Insecta	Hymenoptera	Platygastridae	Amitus	Amitus sp. indet.		Species			Y																																						
NBNORG0000086948	NHMSYS0001703666	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Amphipoea	Amphipoea oculea agg.		Species aggregate			Y																																						
NBNORG0000009466	NBNSYS0000006393	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Amphipyra	Amphipyra pyramidea agg.		Species aggregate			Y																																						
NBNORG0000091427	NHMSYS0020083376	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Amphipyra	Amphipyra pyramidea/berbera subsp. svenssoni		Species aggregate			Y																																						
NBNORG0000029395	NBNSYS0000173779	Animalia	Echinodermata	Ophiuroidea	Ophiurida	Amphiuridae	Amphiura	Amphiura chiajei/filiformis		Species aggregate	Amphiura filiformis/chiajei				Y																																				
NBNORG0000030303	NHMSYS0021324456	Animalia	Mollusca	Gastropoda	Nudibranchia	Eubranchidae	Amphorina	Amphorina farrani / andra		Species aggregate	Eubranchus farrani				Y																																				
NBNORG0000010039	NHMSYS0021486542	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Anacaena	Anacaena limbata/lutescens		Species aggregate	Anacaena limbata		Y																																						
NBNORG0000090289	NHMSYS0021871092	Plantae	Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Anacamptis	Anacamptis laxiflora x morio = A. x alata	(Fleury) H.Kretzschmar, Eccarius & H.Dietr.	Species hybrid	Orchis laxiflora x morio;Orchis laxiflora x morio (O. x alata);Orchis laxiflora x morio = O. x alata;Orchis x alata		Y																				ECCITES-B																		
NBNORG0000060711	NHMSYS0021813971	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Anarhynchus	Anarhynchus atrifrons/mongolus		Species	Charadrius atrifrons/mongolus;Charadrius mongolus		Y																	CMS_A2,CMS_AEWA-A2																					
NBNORG0000115838	NHMSYS0021109896	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha	Anastrepha species indet		Species		Y	Y																																						
NBNORG0000090222	NHMSYS0001754658	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Anchusa	Anchusa ochroleuca x officinalis = A. x baumgartenii	(Nyman) Gusul.	Species hybrid	Anchusa ochroleuca x officinalis;Anchusa ochroleuca x officinalis (A. x baumgartenii);Anchusa officinalis subsp. baumgartenii;Anchusa x baumgartenii																																								
NBNORG0000040662	NBNSYS0000189235	Plantae	Bryophyta	Andreaeopsida	Andreaeales	Andreaeaceae	Andreaea	Andreaea rothii agg.		Species aggregate																																									
NBNORG0000040663	NBNSYS0000189236	Plantae	Bryophyta	Andreaeopsida	Andreaeales	Andreaeaceae	Andreaea	Andreaea rupestris agg.		Species aggregate																																									
NBNORG0000136114	NHMSYS0021791251	Animalia	Arthropoda	Insecta	Hymenoptera	Cynipidae	Andricus	Andricus kollari/infectorius f. agamic		Species aggregate			Y																																						
NBNORG0000028226	NBNSYS0000161415	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Anemone	Anemone hupehensis x vitifolia = A. x hybrida	Paxton	Species hybrid	Anemone hupehensis x vitifolia (A. x hybrida);Anemone x hybrida;Anemone x japonica	Y	Y																																						
NBNORG0000096256	NHMSYS0020470184	Animalia	Nematoda	Secernentea	Rhabditida	Anguinidae	Anguina	Anguina sp.		Species			Y																																						
NBNORG0000097523	NHMSYS0020528099	Animalia	Mollusca	Gastropoda		Planorbidae	Anisus	Anisus agg.		Species aggregate			Y	Y																																					
NBNORG0000048615	NHMSYS0000067959	Animalia	Platyhelminthes	Cestoda	Cyclophyllidea	Dilepididae	Anomotaenia	Anomotaenia ? stentorea	(Frölich, 1802)	Species																																									
NBNORG0000095893	NHMSYS0020326902	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles atroparvus/messeae		Species aggregate			Y	Y																																					
NBNORG0000052106	NHMSYS0000343659	Animalia	Arthropoda	Pycnogonida	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus sp. A	Bamber & Thurston, 1995	Species					Y																																				
NBNORG0000095875	NHMSYS0020322281	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Anoscopus	Anoscopus albifrons/duffieldi		Species aggregate	Aphrodes albifrons/duffieldi		Y																																						
NBNORG0000133229	NHMSYS0021486577	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Anotylus	Anotylus complanatus/hammondi		Species aggregate			Y																																						
NBNORG0000093863	NHMSYS0021486582	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Anotylus	Anotylus mutator/sculpturatus		Species aggregate	Anotylus sculpturatus		Y																																						
NBNORG0000006970	NHMSYS0021621879	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser fabalis/serrirostris		Species aggregate	Anser fabalis;Anser fabilis;Anser segetum	Y	Y	Y	Y														BirdsDir-A2.1	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-CR_NonBreeding	Bird-Amber						Scottish_Biodiversity_List							
NBNORG0000124760	BMSSYS0000598187	Fungi	Basidiomycota	Ustilaginomycetes	Urocystidales	Floromycetaceae	Antherospora	Antherospora vaillantii s. lat.		Species sensu lato			Y																																						
NBNORG0000132484	NHMSYS0021312935	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Anthonomus	Anthonomus brunnipennis/rubi		Species aggregate			Y																																						
NBNORG0000041106	NBNSYS0100001592	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	Anthus spinoletta/petrosus agg.		Species aggregate																																									
NBNORG0000136380	NHMSYS0021824986	Animalia	Arthropoda	Collembola		Neanuridae	Anurida	Anurida maritima agg.		Species aggregate			Y		Y																																				
NBNORG0000020667	NHMSYS0021122950	Animalia	Arthropoda	Insecta	Diptera	Chloropidae	Aphanotrigonum	Aphanotrigonum nigripes agg.		Species aggregate	Aphanotrigonum griseum;Aphanotrigonum nigripes;Oscinis nigripes		Y			1				herbivore	sugar-feeders	wetland	marshland	wetland vegetation			Plantae, Tussilago farfara																								
NBNORG0000097726	NHMSYS0020530781	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Aphelia	Aphelia paleana/unitana		Species aggregate			Y																																						
NBNORG0000117627	NHMSYS0021164049	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Aphodius	Aphodius fimetarius/pedellus		Species aggregate	Aphodius fimetarius		Y																																						
NBNORG0000104110	NHMSYS0020752558	Animalia	Chordata	Ascidiacea	Aplousobranchia	Polyclinidae	Aplidium	Aplidium sp.		Species	Sidnyum sp.				Y																																				
NBNORG0000048618	NHMSYS0000067963	Animalia	Platyhelminthes	Cestoda	Cyclophyllidea	Hymenolepididae	Aploparaksis	Aploparaksis ? crassirostris	(Krabbe, 1869)	Species																																									
NBNORG0000051428	NHMSYS0000335474	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus sp. A		Species					Y																																				
NBNORG0000051429	NHMSYS0000335475	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus sp. B		Species					Y																																				
NBNORG0000050885	NHMSYS0000318598	Animalia	Arthropoda	Malacostraca	Tanaidacea	Apseudidae	Apseudes	Apseudes ? vicinus	Hansen, 1913	Species					Y																																				
NBNORG0000050944	NHMSYS0000322211	Animalia	Arthropoda	Ostracoda	Halocyprida	Halocyprididae	Archiconchoecia	Archiconchoecia aff. cucullata	(Brady, 1902)	Species					Y																																				
NBNORG0000028227	NBNSYS0000161419	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Arctium	Arctium lappa x minus = A. x nothum	(Ruhmer) J.Weiss	Species hybrid	Arctium lappa x minus (A. x nothum);Arctium x debrayi;Arctium x nothum;Lappa x notha																																								
NBNORG0000137351	NHMSYS0021870307	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Arctium	Arctium tomentosum x lappa = A. x ambiguum	(Čelak.) Nyman	Species hybrid		Y	Y																																						
NBNORG0000132603	NHMSYS0021360079	Animalia	Arthropoda	Insecta	Hymenoptera	Argidae	Arge	Arge fuscipes/expansa agg.		Species aggregate	Arge clavicornis		Y																																						
NBNORG0000134891	NHMSYS0021666463	Animalia	Nemertea	Enopla	Monostilifera	Prosorhochmidae	Argonemertes	Argonemertes cf. australiensis		Species		Y	Y																																						
NBNORG0000033034	NBNSYS0000179400	Animalia	Annelida	Polychaeta		Paraonidae	Aricidea	Aricidea cf. philbinae	(Brown, 1976)	Species					Y																																				
NBNORG0000097529	NHMSYS0021931004	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion (Arion) sp.		Species aggregate	Arion (Arion) agg.;Arion sp.		Y																																						
NBNORG0000132530	NHMSYS0021342564	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	"Arion (Arion) sp. ""Davies"""	sensu Rowson et al. 2014	Species	"Arion sp. ""Davies"""	Y	Y																																						
NBNORG0000109084	NHMSYS0021009842	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion (Arion) sp. cf. empiricorum	A. Férussac, 1819	Species	Arion sp. cf. empiricorum		Y																																						
NBNORG0000109085	NHMSYS0021009848	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion (Arion) sp. cf. vulgaris	Moquin-Tandon, 1855	Species	Arion sp. cf. vulgaris		Y																																						
NBNORG0000097531	NHMSYS0020528108	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion (Carinarion) agg.		Species aggregate	Arion agg.;Carinarion agg.		Y																																						
NBNORG0000097532	NHMSYS0020528109	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion (Kobeltia) agg.		Species aggregate	Arion agg.;Kobeltia agg.		Y																																						
NBNORG0000109087	NHMSYS0021342574	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion (Kobeltia) cf. fagophilus	de Winter, 1986	Species	Arion (Kobeltia) sp. cf. fagophilus;Arion cf. fagophilus;Kobeltia cf. fagophilus	Y	Y																																						
NBNORG0000052902	NHMSYS0000377643	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion ater agg.		Species aggregate			Y																																						
NBNORG0000052903	NHMSYS0000377644	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion ater seg.	(Linnaeus, 1758)	Species			Y																																						
NBNORG0000009603	NBNSYS0000006698	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion circumscriptus agg.		Species aggregate			Y																																						
NBNORG0000009604	NBNSYS0000006699	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion circumscriptus seg.	Johnston, 1828	Species			Y																																						
NBNORG0000041151	NBNSYS0100001650	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion hortensis agg.		Species aggregate			Y																																						
NBNORG0000052905	NHMSYS0000377647	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion lusitanicus agg.		Species aggregate			Y																																						
NBNORG0000052906	NHMSYS0000377648	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion lusitanicus seg.	Mabille, 1868	Species			Y																																						
NBNORG0000097537	NHMSYS0020528114	Animalia	Mollusca	Gastropoda	Pulmonata	Arionidae	Arion	Arion subfuscus agg.		Species aggregate			Y																																						
NBNORG0000123037	BMSSYS0000042589	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria mellea s. lat.		Species sensu lato	Armillaria mellea agg.		Y																																						
NBNORG0000012938	NHMSYS0021872507	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Aronia	Aronia arbutifolia x melanocarpa = A. x prunifolia	(Marshall) Rehder	Species hybrid	Aronia arbutifolia x melanocarpa;Aronia x prunifolia	Y	Y																																						
NBNORG0000117683	NHMSYS0021843341	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Arrhenia	Arrhenia peltigerina s. lat.	(Peck) Redhead, Lutzoni, Moncalvo & Vilgalys	Species	Agaricus peltigerinus;Arrhenia peltigerina;Omphalina peltigerina		Y																								RedList_GB_post2001-NE			NR-includes											
NBNORG0000107911	NHMSYS0100000580	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia verlotiorum x vulgaris = A. x wurzellii	C.M.James & Stace	Species hybrid	Artemisia verlotiorum x vulgaris;Artemisia x wurzellii																																								
NBNORG0000009922	NHMSYS0021486517	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Asaphidion	Asaphidion curtum/flavipes/stierlini		Species aggregate	Asaphidion flavipes		Y																																						
NBNORG0000033070	NBNSYS0000179447	Animalia	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	Ascidiella	Ascidiella sp.		Species					Y																																				
NBNORG0000123038	BMSSYS0000042691	Fungi	Ascomycota	Leotiomycetes	Helotiales	Gelatinodiscaceae	Ascocoryne	Ascocoryne sarcoides s. lat.		Species sensu lato			Y																																						
NBNORG0000123122	BMSSYS0000533569	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	Aspicilia	Aspicilia cinerea s. lat.		Species sensu lato	Aspicilia cinerea;Aspicilia cinerea agg.;Lecanora cinerea;Lecanora cinerea f. lepidota;Lecanora cinerea s. lat.;Lecanora cinerea var. lepidota;Lichen cinereus;Parmelia cinerea		Y																								RedList_GB_post2001-LC														
NBNORG0000125443	NHMSYS0000364601	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	Aspicilia	Aspicilia cinerea s. str.	(L.) Körb.	Species			Y																								RedList_GB_post2001-LC														
NBNORG0000090364	NHMSYS0001754801	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Aspleniaceae	Asplenium	Asplenium adiantum-nigrum x obovatum = A. x sarniense	Sleep	Species hybrid	Asplenium adiantum-nigrum x obovatum;Asplenium adiantum-nigrum x obovatum (A. x sarniense);Asplenium x obovatum;Asplenium x sarniense																																								
NBNORG0000090268	NHMSYS0001754705	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Aspleniaceae	Asplenium	Asplenium adiantum-nigrum x onopteris = A. x ticinense	D.E.Mey.	Species hybrid	Asplenium adiantum-nigrum x onopteris;Asplenium adiantum-nigrum x onopteris (A. x ticinense);Asplenium x ticinense																																								
NBNORG0000090260	NHMSYS0001754697	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Aspleniaceae	Asplenium	Asplenium adiantum-nigrum x septentrionale = A. x contrei	Callé, Lovis & Reichst.	Species hybrid	Asplenium adiantum-nigrum x septentrionale;Asplenium adiantum-nigrum x septentrionale (A. x contrei);Asplenium x contrei;Asplenium x souchei																																								
NBNORG0000090272	NHMSYS0001754709	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Aspleniaceae	Asplenium	Asplenium ruta-muraria x septentrionale = A. x murbeckii	Dörfl.	Species hybrid	Asplenium ruta-muraria x septentrionale;Asplenium ruta-muraria x septentrionale (A. x murbeckii);Asplenium x murbeckii;Asplenium x suevicum																										RedList_GB_post2001-VU				NR-excludes										
NBNORG0000090181	NHMSYS0001754614	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Aspleniaceae	Asplenium	Asplenium ruta-muraria x trichomanes = A. x clermontiae	Syme	Species hybrid	Asplenium ruta-muraria x trichomanes;Asplenium ruta-muraria x trichomanes (A. x clermontiae);Asplenium x clermontiae;Asplenium x petrarchae																																								
